DATE,ID,URL,CONTENT,USER,REPLYCOUNT,RETWEETCOUNT,LANGUAGE,SOURCE,LIKECOUNT
2023-02-28 12:12:43+00:00,1630541505286004736,https://twitter.com/urscherry3/status/1630541505286004736,"Telugu film #ButtaBomma will premiere on Netflix India on March 4th.

Also in Tam, Kan, Mal.",https://twitter.com/urscherry3,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
2023-02-28 12:12:36+00:00,1630541474004889600,https://twitter.com/PeedaKasht/status/1630541474004889600,@9moonburn @vedinotvedya @NetflixIndia At least above tinder 😂,https://twitter.com/PeedaKasht,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-02-28 12:09:55+00:00,1630540800940724224,https://twitter.com/MrMadMeta/status/1630540800940724224,"@MissChief01 @NetflixIndia @mammukka @iamramyapandian The protagonist, #Mammootty sir and his family/friends travel and stops by a remote village in TN, so most part they speak both Malayalam and Tamil. A brilliant and bold move by the director @mrinvicible, covered both geography without dubbing 👏🫡
#nanpakalnerathmayakkam",https://twitter.com/MrMadMeta,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
2023-02-28 12:07:47+00:00,1630540264384131074,https://twitter.com/jahns_xoxo/status/1630540264384131074,Dhruv and Farouq deserve better in s2 please @netflixindia 😭😭,https://twitter.com/jahns_xoxo,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
2023-02-28 12:05:29+00:00,1630539683103924225,https://twitter.com/cfaraz/status/1630539683103924225,@HSajwanization @vijaygajera @netflix And in India Muslims are lynched because they eat according to their taste,https://twitter.com/cfaraz,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
2023-02-28 12:04:53+00:00,1630539535628271616,https://twitter.com/_sameerinamdar_/status/1630539535628271616,@vedinotvedya @NetflixIndia 🫂,https://twitter.com/_sameerinamdar_,0,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
2023-02-28 11:55:08+00:00,1630537082308534272,https://twitter.com/sanjay_venky/status/1630537082308534272,@CinemaMadness24 @mammukka @iamramyapandian @NetflixIndia @mrinvicible @MKampanyOffl @NNMMovie @Truthglobalofcl @DQsWayfarerFilm @DreamWarriorpic @UFOMoviez @Netflix_INSouth Weast movie anipinchindhi  naku aithe 🙏,https://twitter.com/sanjay_venky,0,0,tl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-02-28 11:51:06+00:00,1630536066183876609,https://twitter.com/AdityaTransform/status/1630536066183876609,"@PoorneshKs @NetflixIndia Then why did you write ""inspired from movie""
https://t.co/sGCAhquZKO",https://twitter.com/AdityaTransform,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-02-28 11:49:51+00:00,1630535751241969664,https://twitter.com/Prabhu_DS/status/1630535751241969664,"How #Netflix in INDIA could get you blacklisted 
First of all please accept my apologies, due to some issues and traveling I was unable to update #prabhuwrites #prabhu #hymprudious https://t.co/jmHOkFuuv8 #netflixinindia #netflixisgoodorbad",https://twitter.com/Prabhu_DS,0,0,en,"<a href=""https://revive.social/"" rel=""nofollow"">Revive Social App</a>",0
2023-02-28 11:48:34+00:00,1630535428964249600,https://twitter.com/cinematics_off/status/1630535428964249600,"Telugu film #ButtaBomma will premiere on Netflix India on March 4th.

Also in Tam, Kan, Mal. https://t.co/KSx7FCOjPO",https://twitter.com/cinematics_off,0,0,en,"<a href=""https://developer.twitter.com/en/portal/projects/1492158472729022464/apps/26731694/auth-settings"" rel=""nofollow"">Twitter for Cinematics</a>",0
